tic_id,classification,source
903235585,unknown,TIC
953251121,unknown,TIC
902598874,unknown,TIC
56812949,unknown,TIC
902941556,unknown,TIC
902903156,unknown,TIC
953302416,unknown,TIC
903252987,unknown,TIC
281908742,unknown,TIC
325315849,unknown,TIC
366712751,unknown,TIC
35062858,unknown,TIC
902934767,unknown,TIC
376856398,unknown,TIC
96197845,unknown,TIC
902884077,unknown,TIC
397052497,unknown,TIC
903249633,unknown,TIC
953251468,unknown,TIC
78311684,unknown,TIC
81989021,unknown,TIC
953655976,unknown,TIC
376877464,unknown,TIC
902893882,unknown,TIC
397026557,unknown,TIC
902599889,unknown,TIC
902901170,unknown,TIC
903237867,unknown,TIC
35062719,unknown,TIC
953302009,unknown,TIC
902888889,unknown,TIC
902895963,unknown,TIC
82070295,unknown,TIC
82050606,unknown,TIC
349446399,unknown,TIC
301628780,unknown,TIC
953644201,unknown,TIC
421195449,unknown,TIC
952766789,unknown,TIC
953631528,unknown,TIC
902587678,unknown,TIC
902597490,unknown,TIC
952755448,unknown,TIC
56772326,unknown,TIC
902590647,unknown,TIC
902579817,unknown,TIC
66666604,unknown,TIC
903239685,unknown,TIC
96243674,unknown,TIC
421194144,unknown,TIC
903237973,unknown,TIC
902941725,unknown,TIC
82071240,unknown,TIC
301627586,unknown,TIC
953314417,unknown,TIC
376865239,unknown,TIC
953343653,unknown,TIC
366697408,unknown,TIC
56755015,unknown,TIC
952759953,unknown,TIC
376886203,unknown,TIC
953311081,unknown,TIC
953308306,unknown,TIC
35088087,unknown,TIC
953259040,unknown,TIC
953315322,unknown,TIC
376785085,unknown,TIC
376850873,unknown,TIC
953637215,unknown,TIC
953251758,unknown,TIC
902896134,unknown,TIC
902584241,unknown,TIC
953629172,unknown,TIC
953343565,unknown,TIC
902589162,unknown,TIC
952769250,unknown,TIC
366711338,unknown,TIC
902898054,unknown,TIC
953328257,unknown,TIC
903247378,unknown,TIC
903238783,unknown,TIC
902893562,unknown,TIC
397052689,unknown,TIC
325315883,unknown,TIC
35029016,unknown,TIC
