tic_id,status,rows,error
49430090,success,22522,
397433121,success,26031,
376787979,success,22993,
144275026,failed,0,Failed after retry
380547676,failed,0,Failed after retry
376866038,failed,0,Failed after retry
66671454,success,13402,
262810690,failed,0,Failed after retry
376852459,failed,0,No light curve found
152821992,success,13434,
277226501,success,13423,
56757489,failed,0,Failed after retry
377231460,success,16731,
49454723,failed,0,Failed after retry
35010028,success,13316,
56837222,failed,0,No light curve found
421193626,success,22692,
281886418,success,32784,
376886008,success,13444,
149952636,failed,0,Failed after retry
397433100,failed,0,Failed after retry
388917022,failed,0,Failed after retry
66665990,failed,0,Failed after retry
78310069,failed,0,Failed after retry
176942039,success,16616,
349456527,success,13356,
147683792,success,13457,
376787680,success,26380,
337748884,failed,0,Failed after retry
82050533,failed,0,Failed after retry
56759890,success,16477,
366723100,success,13457,
149951742,success,13457,
396956670,failed,0,Failed after retry
376851258,success,14094,
376852207,failed,0,Failed after retry
281929681,success,6704,
82052066,failed,0,Failed after retry
366711151,success,13457,
366660451,failed,0,Failed after retry
49464162,success,22525,
397027857,success,13396,
56837390,failed,0,Failed after retry
56762693,failed,0,Failed after retry
325314625,success,26131,
281929669,failed,0,Failed after retry
325274571,success,17329,
56762251,failed,0,Failed after retry
173165274,success,46049,
66629263,success,13382,
377229299,failed,0,Failed after retry
397479456,success,26040,
144305727,failed,0,Failed after retry
152802579,success,48763,
277226011,failed,0,No light curve found
421195539,failed,0,Failed after retry
78273858,success,14135,
147677682,success,13366,
66604070,failed,0,Failed after retry
149952651,failed,0,Failed after retry
446676308,failed,0,Failed after retry
376865766,failed,0,Failed after retry
281907813,success,25942,
281884571,success,26071,
35063509,failed,0,Failed after retry
376787460,success,14088,
397489718,failed,0,Failed after retry
35028573,failed,0,Failed after retry
376876566,success,3508,
953310411,success,3521,
262933175,failed,0,Failed after retry
35018117,failed,0,Failed after retry
325316099,failed,0,Failed after retry
262933863,failed,0,Failed after retry
281929720,success,17377,
366681348,failed,0,Failed after retry
380542435,failed,0,Failed after retry
397052497,failed,0,Failed after retry
380642059,success,26077,
152773273,failed,0,Failed after retry
377249774,failed,0,Failed after retry
62940822,success,22514,
35088390,failed,0,Failed after retry
