tic_id,rows,filename
96195963,3521,TIC_96195963.csv
82051519,22523,TIC_82051519.csv
953230073,13347,TIC_953230073.csv
366681600,26358,TIC_366681600.csv
397057078,16721,TIC_397057078.csv
35020546,6704,TIC_35020546.csv
281907937,6707,TIC_281907937.csv
35091182,3521,TIC_35091182.csv
421193922,3521,TIC_421193922.csv
376786621,26376,TIC_376786621.csv
366683035,10689,TIC_366683035.csv
35021058,16542,TIC_35021058.csv
82054003,22506,TIC_82054003.csv
35019584,3521,TIC_35019584.csv
380576437,13305,TIC_380576437.csv
397559029,6614,TIC_397559029.csv
81988659,57052,TIC_81988659.csv
173164452,32361,TIC_173164452.csv
337749805,26390,TIC_337749805.csv
35062961,3521,TIC_35062961.csv
94942406,13324,TIC_94942406.csv
446673895,3521,TIC_446673895.csv
396949397,26044,TIC_396949397.csv
366697134,22988,TIC_366697134.csv
366740946,16691,TIC_366740946.csv
281930003,22826,TIC_281930003.csv
397013579,22495,TIC_397013579.csv
78272475,22521,TIC_78272475.csv
49417695,25748,TIC_49417695.csv
380165620,25897,TIC_380165620.csv
94941091,13435,TIC_94941091.csv
376788286,3521,TIC_376788286.csv
380642118,32269,TIC_380642118.csv
262933844,16696,TIC_262933844.csv
350475239,32847,TIC_350475239.csv
376886844,3508,TIC_376886844.csv
366660744,22942,TIC_366660744.csv
262933775,13457,TIC_262933775.csv
78311593,14120,TIC_78311593.csv
397053650,13445,TIC_397053650.csv
349457896,16634,TIC_349457896.csv
366721504,13457,TIC_366721504.csv
446673665,6704,TIC_446673665.csv
35010505,3521,TIC_35010505.csv
325314611,26126,TIC_325314611.csv
397025502,23001,TIC_397025502.csv
377171333,17785,TIC_377171333.csv
49462876,14141,TIC_49462876.csv
397559186,7806,TIC_397559186.csv
953309403,3521,TIC_953309403.csv
380545064,25700,TIC_380545064.csv
366659915,252563,TIC_366659915.csv
94894689,13440,TIC_94894689.csv
152821936,13301,TIC_152821936.csv
152824458,13341,TIC_152824458.csv
377227927,17781,TIC_377227927.csv
281906534,17328,TIC_281906534.csv
149968469,16725,TIC_149968469.csv
376786973,14091,TIC_376786973.csv
78289427,3521,TIC_78289427.csv
376865440,3351,TIC_376865440.csv
130609604,13457,TIC_130609604.csv
377249246,18718,TIC_377249246.csv
49503072,14097,TIC_49503072.csv
56811411,16497,TIC_56811411.csv
421192923,22526,TIC_421192923.csv
380542756,17355,TIC_380542756.csv
377229529,14605,TIC_377229529.csv
397057148,33086,TIC_397057148.csv
397051786,13445,TIC_397051786.csv
173146703,25759,TIC_173146703.csv
376850415,23266,TIC_376850415.csv
56772673,32238,TIC_56772673.csv
281885450,25764,TIC_281885450.csv
149952990,17697,TIC_149952990.csv
49430090,22522,TIC_49430090.csv
397433121,26031,TIC_397433121.csv
376787979,22993,TIC_376787979.csv
66671454,13402,TIC_66671454.csv
152821992,13434,TIC_152821992.csv
277226501,13423,TIC_277226501.csv
377231460,16731,TIC_377231460.csv
35010028,13316,TIC_35010028.csv
421193626,22692,TIC_421193626.csv
281886418,32784,TIC_281886418.csv
376886008,13444,TIC_376886008.csv
176942039,16616,TIC_176942039.csv
349456527,13356,TIC_349456527.csv
147683792,13457,TIC_147683792.csv
376787680,26380,TIC_376787680.csv
56759890,16477,TIC_56759890.csv
366723100,13457,TIC_366723100.csv
149951742,13457,TIC_149951742.csv
376851258,14094,TIC_376851258.csv
281929681,6704,TIC_281929681.csv
366711151,13457,TIC_366711151.csv
49464162,22525,TIC_49464162.csv
397027857,13396,TIC_397027857.csv
325314625,26131,TIC_325314625.csv
325274571,17329,TIC_325274571.csv
173165274,46049,TIC_173165274.csv
66629263,13382,TIC_66629263.csv
397479456,26040,TIC_397479456.csv
152802579,48763,TIC_152802579.csv
78273858,14135,TIC_78273858.csv
147677682,13366,TIC_147677682.csv
281907813,25942,TIC_281907813.csv
281884571,26071,TIC_281884571.csv
376787460,14088,TIC_376787460.csv
376876566,3508,TIC_376876566.csv
953310411,3521,TIC_953310411.csv
281929720,17377,TIC_281929720.csv
380642059,26077,TIC_380642059.csv
62940822,22514,TIC_62940822.csv
