flux_std,flux_range,relative_flux_range,coefficient_of_variation,flux_mad,flux_skew,flux_kurtosis,dominant_period,period_power,period_confidence,num_periods,flare_count,flare_frequency,largest_flare,flare_strength,dip_count,largest_dip_depth,tic_id
0.06688472022377978,5.0300337,5.01773503695558,0.06672118401589064,0.0011566999999998995,41.97609112956745,2163.004253827944,143.41020721514167,0.00974779562207847,0.0005154694597533316,7969,13,0.00039705567942335297,4.0839777,61.05995040924172,8,0.946056,301628336
0.057907510162819545,6.011622654,6.006985617132596,0.05786284347713762,0.0018430750000000273,74.31736728166887,6166.674184837841,15.07220160568613,0.0012449684188809724,4.9923875449095605e-05,4386,3,0.00021294718909710392,5.0254154,86.78348258921775,6,0.986207254,301628517
0.11219750786248756,5.12635456993,5.212276783748123,0.11407803682881554,0.0032710999999999713,4.686045192111475,210.36169948032872,14.034726938030728,0.1141677074297144,0.002680521558888669,11055,30,0.0011613952227943168,4.1264925,36.77882493662467,291,0.99986206993,325253026
0.1794916532631512,16.19856067,16.035118264203398,0.17768059435320308,0.0022625999999998925,46.73778553323495,3479.19344016897,53.15203271714664,0.012008781836270776,0.0004230056770728589,4070,22,0.0012707948243992607,15.633517999999999,87.09885788995341,1,0.56504267,325254297
0.04016295248964144,3.2488204989,3.249533104002733,0.040171761940608224,0.001641900000000085,5.435483619403785,1078.9972612024242,143.4102028598818,0.0025538535370908154,0.00010959968032335742,4949,10,0.0005770673437590167,2.249174,56.00121157875761,11,0.9996464989,325274571
0.05511898619392605,4.384961409,4.338144649159319,0.054530499295499434,0.0013379500000000322,10.744395349180834,581.0563448640455,14.154079411029919,0.12462896669076622,0.00224102256938908,10594,254,0.00972211589986986,3.392518,61.54899126888958,10,0.992443409,325314611
0.18390167063524435,29.551701184,29.53361766109843,0.18378913599462035,0.0015072000000000418,145.4115052873099,22443.63140431747,12.992719064526963,0.00033223821378389955,1.3314990371816e-05,6820,4,0.00015307489189085761,28.610909,155.577210914781,4,0.940792184,325314625
0.03093391589989384,4.240583788,4.240596783321378,0.030934010697261056,0.0019568000000000363,40.23290342581856,5374.281323071687,0.01392574397985744,0.00043960002295620774,1.654770765155116e-05,9255,11,0.0004168245547555892,3.2537794,105.18485310846683,10,0.986804388,337749805
0.04263354562349977,3.325540019,3.321211571472663,0.04257805476665206,0.0006739999999999524,45.77506323021458,2584.7677428036195,110.72476143128345,0.005346375210559878,6.368457286254659e-05,8347,2,0.00014971180477580656,2.3273344,54.58927626036255,5,0.998205619,349446059
0.21022958042729764,19.576947383426,19.434562121664722,0.20870055788599753,0.001491249999999944,70.1222208417595,5592.759562264316,403.609646207541,0.004012339668389353,6.556669674499722e-05,6076,3,0.00022461814914645105,18.577063,88.3655999419377,3,0.999884383426,349456527
0.5598730776871627,60.6609481164,60.39408078400738,0.5574100130737623,0.00205656999999998,84.56587454403557,8267.829144875133,0.39364162511307815,0.0007874435121384047,1.1819557186413615e-05,4897,4,0.0002404713237946375,59.663548,106.56620290882765,0,0.0,349457896
1.1218988284586646,83.232617405,79.64513009834693,1.0735428121284292,0.00332532499999999,59.381950355861235,3904.2902124742263,305.1681334023049,0.008494685595589559,0.00011260663441381547,3605,14,0.0010513667768098527,82.23934,73.30370432152567,0,0.0,35010028
0.011971911222480666,0.5214702,0.5211144920858825,0.011963744881299618,0.0005622000000000682,-35.145007939855724,1399.2279234412435,0.0034734104625469614,0.02780277306332259,0.0010933869582769166,2113,0,0.0,0.0,0.0,2,0.48898909999999995,35010505
0.011360592617174531,0.5007993,0.5008838534180416,0.011362510704793187,0.0006014999999999215,-41.01900834754764,1708.674342228215,0.0034726103428837887,0.004063976983868123,0.0001620679771209291,2501,0,0.0,0.0,0.0,2,0.48776949999999997,35010589
0.009497042588172199,0.5711170000000001,0.5713197769859504,0.009500414544656548,0.0016821199999999537,-39.506320894691214,2003.5367553044339,0.00173629442906676,0.02356726123423873,0.0008908631202750583,3089,7,0.0010441527446300716,0.07564750000000009,7.965374409736032,11,0.4954695,35016665
0.08583856900322019,1.325809,1.3025405547366626,0.08433206991901226,0.0009304000000001089,5.90296929065163,39.895207215514866,0.003473411615514352,0.12244000088394286,0.00438046244676719,755,17,0.004828173814257313,0.8083134999999999,9.416670261239751,2,0.5174955,35019584
0.10333220104156211,1.7778746399999998,1.7493553581623527,0.10167462626204406,0.0010615199999999825,8.617596119714667,82.48487544811164,0.0017364940357060162,0.08929996265452528,0.003210364059960263,1648,27,0.004027446300715991,1.2558981999999999,12.153986727669281,2,0.52197644,35020546
